Source,Positive,Neutral,Negative
postworldnews,17,45,38
wpinvestigates,17,49,34
postlocal,17,52,31
WSJmarkets,26,47,27
WSJbreakingnews,25,50,25
washpostbiz,26,52,22
WSJbusiness,25,53,22
WSJPolitics,31,47,22
GovBeat,24,57,19
postpolitics,25,56,19
